"pos","bib","Country","Athlete","mark","reaction time"
"1","1309","USA","Quincy HALL","43.40 PB","0.168"
"2","705","GBR","Matthew HUDSON-SMITH","43.44 AR","0.149"
"3","1378","ZAM","Muzala SAMUKONGA","43.74 NR","0.185"
"4","1257","TTO","Jereem RICHARDS","43.78 NR","0.144"
"5","792","GRN","Kirani JAMES","43.87","0.147"
"6","1289","USA","Christopher BAILEY","44.58","0.178"
"7","1082","NGR","Samuel OGAZI","44.73","0.225"
"8","1337","USA","Michael NORMAN","45.62","0.150"
