"pos","RANK","Heat","bib","Country","Athlete","mark","details","reaction time"
"1","1","3","1132","BEL","Jonathan BORLÉE","44.43 NR","Q","0.179"
"2","2","3","1519","CZE","Pavel MASLÁK","44.91 NR","Q","0.186"
"3","1","4","1108","BAH","Demetrius PINDER","44.92","Q","0.151"
"4","3","3","2835","RUS","Pavel TRENIKHIN","45.00 PB","Q","0.194"
"5","1","1","1564","DOM","Luguelín SANTOS","45.04","Q","0.187"
"6","1","7","1133","BEL","Kévin BORLÉE","45.14","Q","0.166"
"6","4","3","2177","JAM","Dane HYATT","45.14","q","0.261"
"8","1","6","1060","AUS","Steven SOLOMON","45.18 PB","Q","0.145"
"9","1","2","2005","GRN","Kirani JAMES","45.23","Q","0.173"
"10","2","4","3241","USA","Bryshon NELLUM","45.29","Q","0.191"
"11","2","7","1831","GBR","Martyn ROONEY","45.36","Q","0.186"
"12","1","5","1100","BAH","Chris BROWN","45.40","Q","0.171"
"13","2","6","3044","TTO","Lalonde GORDON","45.43","Q","0.178"
"13","4","4","2124","ISV","Tabarie HENRY","45.43","q","0.176"
"13","3","4","2374","KSA","Youssef Ahmed MASRAHI","45.43 PB","Q","0.147"
"16","2","1","2790","RSA","Oscar PISTORIUS","45.44 SB","Q","0.236"
"17","3","7","2968","SUD","Rabah YOUSIF","45.46","Q","0.203"
"18","2","5","3235","USA","Tony MCQUAY","45.48","Q","0.155"
"19","2","2","1105","BAH","Ramon MILLER","45.57","Q","0.160"
"20","3","5","1816","GBR","Nigel LEVINE","45.58","Q","0.148"
"21","3","2","2078","IOA","Liemarvin BONEVACIA","45.60 PB","Q","0.232"
"22","5","4","3345","VEN","Alberth BRAVO","45.61 PB","q","0.197"
"23","4","7","1448","CRC","Nery BRENES","45.65","","0.237"
"24","4","2","1212","BOT","Isaac MAKWALA","45.67","","0.211"
"25","5","3","2120","ISR","Donald BLAIR-SANFORD","45.71 NR","","0.168"
"26","5","2","3046","TTO","Deon LENDORE","45.81","","0.205"
"27","4","5","2224","JPN","Yuzo KANEMARU","46.01","","0.156"
"28","6","2","1281","CAN","Daundre BARNABY","46.04","","0.171"
"29","5","7","1556","DMA","Erison HURTAULT","46.05 SB","","0.158"
"30","3","6","1842","GBR","Conrad WILLIAMS","46.12","Q","0.164"
"31","4","6","2041","HUN","Marcell DEÁK NAGY","46.17","","0.186"
"32","6","4","2175","JAM","Jermaine GONZALES","46.21","","0.171"
"33","6","7","2661","POL","Marcin MARCINISZYN","46.35","","0.180"
"34","5","5","2391","LAT","Janis LEITIS","46.41","","0.159"
"35","3","1","2179","JAM","Rusheen MCDONALD","46.67","","0.243"
"36","6","3","2641","PNG","Nelson STONE","46.71 SB","","0.193"
"37","5","6","2025","GUY","Winston GEORGE","46.86","","0.245"
"38","7","3","2274","KAZ","Sergey ZAYKOV","47.12","","0.209"
"39","6","5","2626","PAR","Augusto STANLEY","47.21","","0.190"
"40","7","2","1682","ETH","Bereket DESTA","47.40","","0.224"
"41","4","1","3126","UKR","Vitaliy BUTRYM","47.62","","0.165"
"42","6","6","2084","IRI","Sajjad HASHEMI","47.75","","0.171"
"43","7","4","2519","MKD","Kristijan ERFEMOV","47.92 PB","","0.229"
"44","8","3","1262","BRU","Ak. Hafiy Tajuddin ROSITI","48.67 PB","","0.188"
"45","8","2","2637","PLE","Bahaa AL FARRA","49.93 SB","","0.212"
"46","8","4","2534","MYA","Thet Zaw WIN","50.07","","0.181"
"","","1","2806","RUS","Maksim DYLDIN","DQ","","0.190"
"","","7","1149","BEN","Mathieu GNANLIGO","DNF","","0.168"
"","","6","3237","USA","LaShawn MERRITT","DNF","","0.195"
"","","1","2619","OMA","Ahmed Mohamed AL-MERJABI","DNS","",""
"","","1","3047","TTO","Renny QUOW","DNS","",""
