"pos","bib","Country","Athlete","mark","reaction time"
"1","2005","GRN","Kirani JAMES","43.94 NR","0.163"
"2","1564","DOM","Luguelín SANTOS","44.46","0.185"
"3","3044","TTO","Lalonde GORDON","44.52 PB","0.159"
"4","1100","BAH","Chris BROWN","44.79","0.166"
"5","1133","BEL","Kevin BORLÉE","44.81","0.151"
"6","1132","BEL","Jonathan BORLÉE","44.83","0.173"
"7","1108","BAH","Demetrius PINDER","44.98","0.153"
"8","1060","AUS","Steven SOLOMON","45.14","0.143"
