"pos","RANK","Heat","bib","Country","Athlete","mark","details","reaction time"
"","","3","","CYP","Evripides DEMOSTHENOUS","DNF","",""
"","7","3","","BOT","Johnson KUBISA","46.97","",""
"","6","3","","NGR","Nduka AWAZIE","46.81","",""
"","5","3","","ZIM","Tawanda CHIWIRA","46.50","",""
"","4","3","","JPN","Jun OSAKADA","45.88","q",""
"","3","3","","TUN","Sofiane LABIDI","45.84","Q",""
"","2","3","","JAM","Danny MCFARLANE","45.84","Q",""
"","1","3","","BRA","Sanderlei PARRELA","45.55","Q",""
"","7","5","","GBR","Jamie BAULCH","46.52","",""
"","6","5","","HUN","Zsolt SZEGLET","46.19","",""
"","5","5","","QAT","Salaheddine Safi BAKAR","46.16","",""
"","4","5","","SRI","Rohan Pradeep KUMARA","46.00","",""
"","3","5","","ITA","Alessandro ATTENE","45.79","Q",""
"","2","5","","POL","Piotr HACZEK","45.61 SB","Q",""
"","1","5","","RSA","Hendrick MOKGANYETSI","45.22","Q",""
"","8","4","","BUL","Ilya DZHIVONDOV","48.64","",""
"","7","4","","CGO","Benjamin YOULA","47.54","",""
"","6","4","","TTO","Ato STEPHENS","45.91","",""
"","5","4","","NGR","Sunday BADA","45.75","q",""
"","4","4","","RSA","Arnaud MALHERBE","45.73","q",""
"","3","4","","FRA","Marc RAQUIL","45.72","Q",""
"","2","4","","KEN","David KIRUI","45.69 PB","Q",""
"","1","4","","JAM","Gregory HAUGHTON","45.63","Q",""
"","","9","","AUS","Daniel BATMAN","DNF","",""
"","","9","","USA","Antonio PETTIGREW","DQ","",""
"","5","9","","MEX","Juan Pedro TOLEDO","46.82","",""
"","4","9","","IRL","Tomas COMAN","46.17","",""
"","3","9","","SLO","Matija ŠESTAK","45.95","",""
"","2","9","","UGA","Davis KAMOGA","45.92 SB","Q",""
"","1","9","","BAH","Chris BROWN","45.80","Q",""
"","7","7","","UKR","Oleksandr KAYDASH","46.88","",""
"","6","7","","BAR","Fabian ROLLINS","46.85","",""
"","5","7","","GBR","Sean BALDOCK","46.45","",""
"","4","7","","ALG","Malik LOUAHLA","46.06","",""
"","3","7","","FRA","Ibrahima WADE","45.72","Q",""
"","2","7","","ESP","David CANAL","45.53 SB","Q",""
"","1","7","","USA","Michael JOHNSON","45.25","Q",""
"","7","6","","ZIM","Philip MUKOMANA","47.11","",""
"","6","6","","IND","Paramjit SINGH","46.64","",""
"","5","6","","KUW","Fawzi Dahash AL SHAMMARI","46.38","",""
"","4","6","","GRE","Anastásios GOÚSIS","46.38","",""
"","3","6","","POL","Robert MACKOWIAK","45.39","Q",""
"","2","6","","JAM","Davian CLARKE","45.30","Q",""
"","1","6","","USA","Alvin HARRISON","44.96","Q",""
"","8","8","","YEM","Bashir Mohamed AL KHEWANI","49.72 PB","",""
"","7","8","","GRN","Rudieon SYLVAN","48.17","",""
"","6","8","","JPN","Kenji TABATA","46.59","",""
"","5","8","","SVK","Štefan BALOŠÁK","46.42","",""
"","4","8","","MRI","Eric MILAZAR","45.66","q",""
"","3","8","","QAT","Ibrahim Ismail MUFTAH","45.48","Q",""
"","2","8","","SRI","Sugath THILAKARATNE","45.48","Q",""
"","1","8","","KSA","Hamdan Odha AL-BISHI","45.22 NR","Q",""
"","","2","","KEN","Kennedy OCHIENG","DNF","",""
"","","2","","LTU","Jonas MOTIEJUNAS","DNF","",""
"","6","2","","BAH","Troy MCINTOSH","47.06","",""
"","5","2","","ARG","Gustavo AGUIRRE","47.03","",""
"","4","2","","TTO","Neil DE SILVA","46.84","",""
"","3","2","","MEX","Alejandro Manuel CÁRDENAS","46.14","Q",""
"","2","2","","AUS","Patrick DWYER","45.82","Q",""
"","1","2","","NGR","Jude MONYE","45.79","Q",""
"","8","1","","HAI","Gerald CLERVIL","46.69 NR","",""
"","7","1","","POL","Piotr RYSIUKIEWICZ","46.67","",""
"","6","1","","DOM","Carlos SANTA","46.40","",""
"","5","1","","JPN","Takahiko YAMAMURA","46.25","",""
"","4","1","","RUS","Dmitriy GOLOVASTOV","45.90","q",""
"","3","1","","AUS","Casey VINCENT","45.49","Q",""
"","2","1","","GBR","Daniel CAINES","45.39 PB","Q",""
"","1","1","","BAH","Avard MONCUR","45.23","Q",""
