"pos","RANK","Heat","bib","Country","Athlete","mark","details","reaction time"
"","","6","2160","BRN","Abbas Abubakar ABBAS","DQ RIAAF 163.3a","","0.192"
"","","2","2333","EGY","Anas BESHR","DQ RIAAF 163.3a","","0.141"
"","","3","2073","BAH","Alonzo RUSSELL","DQ RIAAF 163.3a","","0.159"
"1","1","6","2539","GRN","Kirani JAMES","44.93","Q","0.156"
"2","1","1","2977","TTO","Machel CEDENIO","44.98","Q","0.179"
"3","1","7","2171","BRN","Ali Khamis KHAMIS","45.12","Q","0.161"
"4","1","2","2540","GRN","Bralon TAPLIN","45.15","Q","0.162"
"5","2","6","2623","JAM","Rusheen MCDONALD","45.22 SB","Q","0.179"
"6","2","7","2065","BAH","Steven GARDINER","45.24","Q","0.149"
"6","1","4","2980","TTO","Lalonde GORDON","45.24","Q","0.153"
"8","3","6","2461","GBR","Matthew HUDSON-SMITH","45.26","Q","0.142"
"8","1","3","2910","RSA","Wayde VAN NIEKERK","45.26","Q","0.147"
"10","2","1","3093","USA","Gil ROBERTS","45.27","Q","0.168"
"11","1","5","3090","USA","LaShawn MERRITT","45.28","Q","0.235"
"12","2","4","2929","SLO","Luka JANEŽIČ","45.33","Q","0.148"
"13","3","1","2275","CUB","Yoandys LESCAY","45.36 SB","Q","0.199"
"14","3","4","2126","BOT","Baboloki THEBE","45.41","Q","0.155"
"15","4","6","3102","USA","David VERBURG","45.48","q","0.167"
"16","3","7","2780","NED","Liemarvin BONEVACIA","45.49","Q","0.142"
"17","2","2","2262","CRC","Nery BRENES","45.53","Q","0.151"
"18","4","7","2849","POL","Rafał OMELKO","45.54","q","0.177"
"19","5","7","2304","CZE","Pavel MASLÁK","45.54","q","0.183"
"20","4","4","2063","BAH","Chris BROWN","45.56 SB","","0.147"
"20","3","2","2125","BOT","Karabo SIBANDA","45.56","Q","0.166"
"22","5","4","2472","GBR","Martyn ROONEY","45.60","","0.154"
"23","2","3","2327","DOM","Luguelín SANTOS","45.61","Q","0.148"
"24","4","1","2617","JAM","Fitzroy DUNKLEY","45.66","","0.176"
"25","2","5","2880","QAT","Abdalelah HAROUN","45.76","Q","0.190"
"26","5","6","2547","GUY","Winston GEORGE","45.77","","0.186"
"27","3","3","2620","JAM","Javon FRANCIS","45.88","Q","0.172"
"28","5","1","2089","BEL","Kévin BORLÉE","45.90","","0.138"
"29","3","5","2121","BOT","Isaac MAKWALA","45.91","Q","0.242"
"30","4","5","3027","UKR","Vitaliy BUTRYM","45.92","","0.166"
"31","6","7","2572","IND","Muhammed Anas YAHIYA","45.95","","0.158"
"32","4","3","2088","BEL","Jonathan BORLÉE","46.01","","0.162"
"33","5","5","2587","ISR","Donald BLAIR-SANFORD","46.06","","0.163"
"34","4","2","2600","ITA","Matteo GALVAN","46.07","","0.154"
"35","6","1","3115","VEN","Alberth BRAVO","46.15","","0.205"
"35","5","2","2679","KEN","Raymond KIBET","46.15","","0.234"
"35","6","5","2982","TTO","Deon LENDORE","46.15","","0.201"
"38","6","4","2663","JPN","Julian Jrummi WALSH","46.37","","0.149"
"39","6","6","2254","COL","Diego PALOMEQUE","46.48","","0.159"
"40","7","1","2697","KEN","Alexander Lerionka SAMPAO","46.62","","0.199"
"41","7","5","2147","BRA","Hederson ESTEFANI","46.68","","0.234"
"42","5","3","2685","KEN","Alphas Leken KISHOYIAN","46.74","","0.147"
"43","7","4","2321","DOM","Gustavo CUESTA","46.92","","0.143"
"44","7","7","2792","NGR","Orukpe ERAIYOKAN","47.42 SB","","0.180"
"45","6","3","3122","VIN","Brandon PARRIS","47.62","","0.144"
"46","6","2","2816","PAK","Mehboob ALI","48.37","","0.212"
"47","8","7","2642","JPN","Yuzo KANEMARU","48.38","","0.144"
"48","7","2","2217","CHA","Bachir MAHAMAT","48.59","","0.188"
"49","8","1","2801","NIG","Ousseini DJIBO IDRISSA","50.06","","0.173"
"50","8","4","2885","ROT","James Nyang CHIENGJIEK","52.89","","0.213"
