"pos","bib","Country","Athlete","mark","reaction time"
"1","2910","RSA","Wayde VAN NIEKERK","43.03 WR","0.181"
"2","2539","GRN","Kirani JAMES","43.76 SB","0.134"
"3","3090","USA","LaShawn MERRITT","43.85 SB","0.204"
"4","2977","TTO","Machel CEDENIO","44.01 NR","0.203"
"5","2125","BOT","Karabo SIBANDA","44.25 PB","0.164"
"6","2171","BRN","Ali Khamis KHAMIS","44.36 NR","0.148"
"7","2540","GRN","Bralon TAPLIN","44.45","0.181"
"8","2461","GBR","Matthew HUDSON-SMITH","44.61","0.138"
